layer,q_head,chosen_budget,best_l2
41,1,DENSE,nan
41,2,DENSE,nan
41,3,DENSE,nan
41,4,DENSE,nan
41,5,DENSE,nan
41,6,DENSE,nan
41,7,DENSE,nan
41,8,DENSE,nan
41,9,DENSE,nan
41,10,DENSE,nan
41,11,DENSE,nan
41,12,DENSE,nan
41,13,DENSE,nan
41,14,DENSE,nan
41,15,DENSE,nan
42,0,DENSE,nan
42,1,DENSE,nan
42,2,DENSE,nan
42,3,DENSE,nan
42,4,DENSE,nan
42,5,DENSE,nan
42,6,DENSE,nan
42,7,DENSE,nan
42,8,DENSE,nan
42,9,DENSE,nan
42,10,DENSE,nan
42,11,DENSE,nan
42,12,DENSE,nan
42,13,DENSE,nan
42,14,DENSE,nan
42,15,DENSE,nan
43,0,DENSE,nan
43,1,DENSE,nan
43,2,DENSE,nan
43,3,DENSE,nan
43,4,DENSE,nan
43,5,DENSE,nan
43,6,DENSE,nan
43,7,DENSE,nan
43,8,DENSE,nan
43,9,DENSE,nan
43,10,DENSE,nan
43,11,DENSE,nan
43,12,DENSE,nan
43,13,DENSE,nan
43,14,DENSE,nan
43,15,DENSE,nan
44,0,DENSE,nan
44,1,DENSE,nan
44,2,DENSE,nan
44,3,DENSE,nan
44,4,DENSE,nan
44,5,DENSE,nan
44,6,DENSE,nan
44,7,DENSE,nan
44,8,DENSE,nan
44,9,DENSE,nan
44,10,DENSE,nan
44,11,DENSE,nan
44,12,DENSE,nan
44,13,DENSE,nan
44,14,DENSE,nan
44,15,DENSE,nan
45,0,DENSE,nan
45,1,DENSE,nan
45,2,DENSE,nan
45,3,DENSE,nan
45,4,DENSE,nan
45,5,DENSE,nan
45,6,DENSE,nan
45,7,DENSE,nan
45,8,DENSE,nan
45,9,DENSE,nan
45,10,DENSE,nan
45,11,DENSE,nan
45,12,DENSE,nan
45,13,DENSE,nan
45,14,DENSE,nan
45,15,DENSE,nan
46,0,DENSE,nan
46,1,DENSE,nan
46,2,DENSE,nan
46,3,DENSE,nan
46,4,DENSE,nan
46,5,DENSE,nan
46,6,DENSE,nan
46,7,DENSE,nan
46,8,DENSE,nan
46,9,DENSE,nan
46,10,DENSE,nan
46,11,DENSE,nan
46,12,DENSE,nan
46,13,DENSE,nan
46,14,DENSE,nan
46,15,DENSE,nan
47,0,DENSE,nan
47,1,DENSE,nan
47,2,DENSE,nan
47,3,DENSE,nan
47,4,DENSE,nan
47,5,DENSE,nan
47,6,DENSE,nan
47,7,DENSE,nan
47,8,DENSE,nan
47,9,DENSE,nan
47,10,DENSE,nan
47,11,DENSE,nan
47,12,DENSE,nan
47,13,DENSE,nan
47,14,DENSE,nan
47,15,DENSE,nan
48,0,DENSE,nan
48,1,DENSE,nan
48,2,DENSE,nan
48,3,DENSE,nan
48,4,DENSE,nan
48,5,DENSE,nan
48,6,DENSE,nan
48,7,DENSE,nan
48,8,DENSE,nan
48,9,DENSE,nan
48,10,DENSE,nan
48,11,DENSE,nan
48,12,DENSE,nan
48,13,DENSE,nan
48,14,DENSE,nan
48,15,DENSE,nan
49,0,DENSE,nan
49,1,DENSE,nan
49,2,DENSE,nan
49,3,DENSE,nan
49,4,DENSE,nan
49,5,DENSE,nan
49,6,DENSE,nan
49,7,DENSE,nan
49,8,DENSE,nan
49,9,DENSE,nan
49,10,DENSE,nan
49,11,DENSE,nan
49,12,DENSE,nan
49,13,DENSE,nan
49,14,DENSE,nan
49,15,DENSE,nan
50,0,DENSE,nan
50,1,DENSE,nan
50,2,DENSE,nan
50,3,DENSE,nan
50,4,DENSE,nan
50,5,DENSE,nan
50,6,DENSE,nan
50,7,DENSE,nan
50,8,DENSE,nan
50,9,DENSE,nan
50,10,DENSE,nan
50,11,DENSE,nan
50,12,DENSE,nan
50,13,DENSE,nan
50,14,DENSE,nan
50,15,DENSE,nan
51,0,DENSE,nan
51,1,DENSE,nan
51,2,DENSE,nan
51,3,DENSE,nan
51,4,DENSE,nan
51,5,DENSE,nan
51,6,DENSE,nan
51,7,DENSE,nan
51,8,DENSE,nan
51,9,DENSE,nan
51,10,DENSE,nan
51,11,DENSE,nan
51,12,DENSE,nan
51,13,DENSE,nan
51,14,DENSE,nan
51,15,DENSE,nan
52,0,DENSE,nan
52,1,DENSE,nan
52,2,DENSE,nan
52,3,DENSE,nan
52,4,DENSE,nan
52,5,DENSE,nan
52,6,DENSE,nan
52,7,DENSE,nan
52,8,DENSE,nan
52,9,DENSE,nan
52,10,DENSE,nan
52,11,DENSE,nan
52,12,DENSE,nan
52,13,DENSE,nan
52,14,DENSE,nan
52,15,DENSE,nan
53,0,DENSE,nan
53,1,DENSE,nan
53,2,DENSE,nan
53,3,DENSE,nan
53,4,DENSE,nan
53,5,DENSE,nan
53,6,DENSE,nan
53,7,DENSE,nan
53,8,DENSE,nan
53,9,DENSE,nan
53,10,DENSE,nan
53,11,DENSE,nan
53,12,DENSE,nan
53,13,DENSE,nan
53,14,DENSE,nan
53,15,DENSE,nan
54,0,DENSE,nan
54,1,DENSE,nan
54,2,DENSE,nan
54,3,DENSE,nan
54,4,DENSE,nan
54,5,DENSE,nan
54,6,DENSE,nan
54,7,DENSE,nan
54,8,DENSE,nan
54,9,DENSE,nan
54,10,DENSE,nan
54,11,DENSE,nan
54,12,DENSE,nan
54,13,DENSE,nan
54,14,DENSE,nan
54,15,DENSE,nan
55,0,DENSE,nan
55,1,DENSE,nan
55,2,DENSE,nan
55,3,DENSE,nan
55,4,DENSE,nan
55,5,DENSE,nan
55,6,DENSE,nan
55,7,DENSE,nan
55,8,DENSE,nan
55,9,DENSE,nan
55,10,DENSE,nan
55,11,DENSE,nan
55,12,DENSE,nan
55,13,DENSE,nan
55,14,DENSE,nan
55,15,DENSE,nan
56,0,DENSE,nan
56,1,DENSE,nan
56,2,DENSE,nan
56,3,DENSE,nan
56,4,DENSE,nan
56,5,DENSE,nan
56,6,DENSE,nan
56,7,DENSE,nan
56,8,DENSE,nan
56,9,DENSE,nan
56,10,DENSE,nan
56,11,DENSE,nan
56,12,DENSE,nan
56,13,DENSE,nan
56,14,DENSE,nan
56,15,DENSE,nan
57,0,DENSE,nan
57,1,DENSE,nan
57,2,DENSE,nan
57,3,DENSE,nan
57,4,DENSE,nan
57,5,DENSE,nan
57,6,DENSE,nan
57,7,DENSE,nan
57,8,DENSE,nan
57,9,DENSE,nan
57,10,DENSE,nan
57,11,DENSE,nan
57,12,DENSE,nan
57,13,DENSE,nan
57,14,DENSE,nan
57,15,DENSE,nan
58,0,DENSE,nan
58,1,DENSE,nan
58,2,DENSE,nan
58,3,DENSE,nan
58,4,DENSE,nan
58,5,DENSE,nan
58,6,DENSE,nan
58,7,DENSE,nan
58,8,DENSE,nan
58,9,DENSE,nan
58,10,DENSE,nan
58,11,DENSE,nan
58,12,DENSE,nan
58,13,DENSE,nan
58,14,DENSE,nan
58,15,DENSE,nan
59,0,DENSE,nan
59,1,DENSE,nan
59,2,DENSE,nan
59,3,DENSE,nan
59,4,DENSE,nan
59,5,DENSE,nan
59,6,DENSE,nan
59,7,DENSE,nan
59,8,DENSE,nan
59,9,DENSE,nan
59,10,DENSE,nan
59,11,DENSE,nan
59,12,DENSE,nan
59,13,DENSE,nan
59,14,DENSE,nan
59,15,DENSE,nan
60,0,DENSE,nan
60,1,DENSE,nan
60,2,DENSE,nan
60,3,DENSE,nan
60,4,DENSE,nan
60,5,DENSE,nan
60,6,DENSE,nan
60,7,DENSE,nan
60,8,DENSE,nan
60,9,DENSE,nan
60,10,DENSE,nan
60,11,DENSE,nan
60,12,DENSE,nan
60,13,DENSE,nan
60,14,DENSE,nan
60,15,DENSE,nan
61,0,DENSE,nan
61,1,DENSE,nan
61,2,DENSE,nan
61,3,DENSE,nan
61,4,DENSE,nan
61,5,DENSE,nan
61,6,DENSE,nan
61,7,DENSE,nan
61,8,DENSE,nan
61,9,DENSE,nan
61,10,DENSE,nan
61,11,DENSE,nan
61,12,DENSE,nan
61,13,DENSE,nan
61,14,DENSE,nan
61,15,DENSE,nan
62,0,DENSE,nan
62,1,DENSE,nan
62,2,DENSE,nan
62,3,DENSE,nan
62,4,DENSE,nan
62,5,DENSE,nan
62,6,DENSE,nan
62,7,DENSE,nan
62,8,DENSE,nan
62,9,DENSE,nan
62,10,DENSE,nan
62,11,DENSE,nan
62,12,DENSE,nan
62,13,DENSE,nan
62,14,DENSE,nan
62,15,DENSE,nan
63,0,DENSE,nan
63,1,DENSE,nan
63,2,DENSE,nan
63,3,DENSE,nan
63,4,DENSE,nan
63,5,DENSE,nan
63,6,DENSE,nan
63,7,DENSE,nan
63,8,DENSE,nan
63,9,DENSE,nan
63,10,DENSE,nan
63,11,DENSE,nan
63,12,DENSE,nan
63,13,DENSE,nan
63,14,DENSE,nan
63,15,DENSE,nan
